name,link,поступление,id,последнее_сообщение
ЧЕРНИГОВ,https://helpdog.ru/forum/threads/chernigov-naberezhnye-chelny-spasli-ot-otstrela-godovalogo-pita.16118/,сообщение 2023-11-27: Расход Обработка при поступлении - 800 Передержка с 25.11.23 по 30.,16118,https://helpdog.ru/forum/threads/chernigov-naberezhnye-chelny-spasli-ot-otstrela-godovalogo-pita.16118/page-4
ЛИККИ,https://helpdog.ru/forum/threads/likki-pitbul-xozjain-otvel-ego-v-les-tam-on-i-zhivet.14133/,сообщение 2019-10-15: Передержка с 01.01.23 по 31.,14133,https://helpdog.ru/forum/threads/likki-pitbul-xozjain-otvel-ego-v-les-tam-on-i-zhivet.14133/page-17
ДЖАСПЕР,https://helpdog.ru/forum/threads/dzhasper-dolgoprudnyj-privjazannyj-staff-nuzhna-pomosch.15922/,сообщение 2023-02-27: Расход Обработка при поступлении - 800 Передержка с 27.02.23 по 28.,15922,https://helpdog.ru/forum/threads/dzhasper-dolgoprudnyj-privjazannyj-staff-nuzhna-pomosch.15922/page-6
ГЕОРГ,https://helpdog.ru/forum/threads/georg-goljanovo-vystavili-na-ulicu-s-veschami.15936/,сообщение 2023-03-14: ФИНАНСИРОВАНИЕ Финкураторы: Итого Приход Итого: Расход Обработка при поступлении - 800 Передержка с 13.03.23 по 31.,15936,https://helpdog.ru/forum/threads/georg-goljanovo-vystavili-na-ulicu-s-veschami.15936/page-3
РАССЕЛ,https://helpdog.ru/forum/threads/rassel-rostov-nuzhny-finkuratory-ispytatelnyj-s-18-04.16265/,сообщение 2024-06-11: Передержка с 07.06.24 по 30.,16265,https://helpdog.ru/forum/threads/rassel-rostov-nuzhny-finkuratory-ispytatelnyj-s-18-04.16265/page-5
РИДДИК,https://helpdog.ru/forum/threads/riddik-chernyj-krasavchik-syn-ricy-nuzhen-dom-v-prijute-ispytatelnyj-s-29-03.14039/,сообщение 2019-08-18: Передержка с 02.07.23 по 31.,14039,https://helpdog.ru/forum/threads/riddik-chernyj-krasavchik-syn-ricy-nuzhen-dom-v-prijute-ispytatelnyj-s-29-03.14039/page-4
ЯЦИК,https://helpdog.ru/forum/threads/jacik-jakutsk-nuzhny-finkuratory.16190/,сообщение 2024-02-28: Передержка с 28.02.24 по 29.,16190,https://helpdog.ru/forum/threads/jacik-jakutsk-nuzhny-finkuratory.16190/page-4
ТАНИТА,https://helpdog.ru/forum/threads/tanita-devochka-iz-tureckogo-vivarija.15317/,сообщение 2021-10-15: Расход Передержка с 01.01.23 по 31.,15317,https://helpdog.ru/forum/threads/tanita-devochka-iz-tureckogo-vivarija.15317/page-19
РУЛЛА,https://helpdog.ru/forum/threads/rulla-najdena-v-ruzskom-rajone.16201/,сообщение 2024-03-18: Передержка с 15.03.24 по 31.,16201,https://helpdog.ru/forum/threads/rulla-najdena-v-ruzskom-rajone.16201/page-3
ЮККА,https://helpdog.ru/forum/threads/jukka-schenok-s-ranami-na-golove-ramenskij-r-on.13149/,сообщение 2018-05-08: Расход Передержка с 09.05.18 по 17.,13149,https://helpdog.ru/forum/threads/jukka-schenok-s-ranami-na-golove-ramenskij-r-on.13149/page-6
ЯРИЛ,https://helpdog.ru/forum/threads/jaril-jakutsk-tigrovyj-molodoj-staff.14611/,сообщение 2020-07-05: Расход Обработка при поступлении - 800 Передержка с 06.07.20 по 31.,14611,https://helpdog.ru/forum/threads/jaril-jakutsk-tigrovyj-molodoj-staff.14611/page-11
ЛЮЦЕРН,https://helpdog.ru/forum/threads/ljucern-kazan-chernyj-staff-sobaku-xoteli-usypit.14909/,сообщение 2021-01-21: Расход Обработка при поступлении - 0 Передержка с 22.01.21 по 31.,14909,https://helpdog.ru/forum/threads/ljucern-kazan-chernyj-staff-sobaku-xoteli-usypit.14909/page-18
СУХИЧ,https://helpdog.ru/forum/threads/suxich-sochi-nuzhny-finkuratory.15695/,сообщение 2022-06-30: Передержка с 01.07.22 по 31.,15695,https://helpdog.ru/forum/threads/suxich-sochi-nuzhny-finkuratory.15695/page-3
ВИТТОРИ,https://helpdog.ru/forum/threads/vittori-xozjain-pogib-v-dtp-ostalis-dve-sobaki-volgograd-nuzhny-finkuratory.15474/,сообщение 2022-01-27: Расход Обработка при поступлении - 800 Передержка с 27.01.22 по 31.,15474,https://helpdog.ru/forum/threads/vittori-xozjain-pogib-v-dtp-ostalis-dve-sobaki-volgograd-nuzhny-finkuratory.15474/page-6
БАКСИК,https://helpdog.ru/forum/threads/baksik-odincovo-nuzhna-pomosch.16098/,сообщение 2023-10-27: Расход Обработка при поступлении - 800 Передержка с 26.10.23 по 31.,16098,https://helpdog.ru/forum/threads/baksik-odincovo-nuzhna-pomosch.16098/page-4
ДУКАЛИС,https://helpdog.ru/forum/threads/dukalis-dubna-nuzhny-finkuratory.16250/,сообщение 2024-05-27: Передержка с 26.05.24 по 31.,16250,https://helpdog.ru/forum/threads/dukalis-dubna-nuzhny-finkuratory.16250/page-5
ГЕРМЕС,https://helpdog.ru/forum/threads/germes-gruzija-nuzhna-pomosch.16114/,сообщение 2023-11-21: Расход Обработка при поступлении - 800 Передержка с 19.11.23 по 30.,16114,https://helpdog.ru/forum/threads/germes-gruzija-nuzhna-pomosch.16114/page-5
ЛОДЖИ ЛОЙД,https://helpdog.ru/forum/threads/lodzhi-lojd-molodoj-i-nenuzhnyj.14768/,сообщение 2020-10-10: 20 - 5000 (в составе 15000) на сб от хозяев Таны Итого: 5843 Расход Обработка при поступлении - 800 Передержка с 09.10.20 по 31.,14768,https://helpdog.ru/forum/threads/lodzhi-lojd-molodoj-i-nenuzhnyj.14768/page-4
АНТОНИЙ,https://helpdog.ru/forum/threads/antonij-astraxan-nikomu-ne-nuzhnyj-pes.15635/,сообщение 2022-05-13: Расход Обработка при поступлении - 0 Передержка с 16.05.22 по 31.,15635,https://helpdog.ru/forum/threads/antonij-astraxan-nikomu-ne-nuzhnyj-pes.15635/page-7
ЯКОБС,https://helpdog.ru/forum/threads/jakobs-istoschjonnyj-pit-iz-otlova-jakutskogo-ppzh-nuzhny-finkuratory.16050/,сообщение 2023-08-09: Передержка с 30.08.23 по 30.,16050,https://helpdog.ru/forum/threads/jakobs-istoschjonnyj-pit-iz-otlova-jakutskogo-ppzh-nuzhny-finkuratory.16050/page-5
ТЭГИ,https://helpdog.ru/forum/threads/tehgi-tula-nuzhny-finkuratory.14839/,сообщение 2020-11-28: 21 - 1000 на сб - Оля Шадская Итого: 13250 Расход Обработка при поступлении - 800 Передержка с 28.11.20 по 30.,14839,https://helpdog.ru/forum/threads/tehgi-tula-nuzhny-finkuratory.14839/page-13
ШЕЙНА,https://helpdog.ru/forum/threads/shejna-shatura-sobaku-brosili-v-lesu.15627/,сообщение 2022-05-09: 22 - 1000 на сб от @mihteevaolga Итого: 6000 Расход Обработка при поступлении - 800 Передержка с 09.05.22 по 31.,15627,https://helpdog.ru/forum/threads/shejna-shatura-sobaku-brosili-v-lesu.15627/page-2
ТИМОХА,https://helpdog.ru/forum/threads/timoxa-ostalsja-bez-xozjaina.16428/,сообщение 2026-03-03: ru ФИНАНСИРОВАНИЕ Финкураторы Итого: Приход Итого: Расход Обработка при поступлении - 800₽ Передержка с 02.03.26 по 31.,16428,https://helpdog.ru/forum/threads/timoxa-ostalsja-bez-xozjaina.16428/
БЕЛЫЙ БИМ,https://helpdog.ru/forum/threads/belyj-bim_-adygeja-post-shans-nuzhna-pomosch-v-prijute-ispytatelnyj-s-20-04.15121/,сообщение 2021-06-11: 21 - 500 на сб от @evl_pugacheva Итого: 37500 Расход Обработка при поступлении - 800 Передержка с 13.06.21 по 27.,15121,https://helpdog.ru/forum/threads/belyj-bim_-adygeja-post-shans-nuzhna-pomosch-v-prijute-ispytatelnyj-s-20-04.15121/page-8
КУКИ,https://helpdog.ru/forum/threads/kuki-privjazali-u-teplotrassy.16427/,сообщение 2026-02-18: Расход Обработка при поступлении - 800₽ Передержка с 13.02.26 по 28.,16427,https://helpdog.ru/forum/threads/kuki-privjazali-u-teplotrassy.16427/
БРИОН,https://helpdog.ru/forum/threads/brion-brjansk-staff-okazalsja-ne-nuzhnym.14671/,сообщение 2020-08-15: Расход Обработка при поступлении - 800 Передержка с 15.08.20 по 31.,14671,https://helpdog.ru/forum/threads/brion-brjansk-staff-okazalsja-ne-nuzhnym.14671/page-6
ТОФИТА,https://helpdog.ru/forum/threads/tofita-turcija-nuzhny-finkuratory.16252/,сообщение 2024-05-27: Передержка с 27.05.24 по 31.,16252,https://helpdog.ru/forum/threads/tofita-turcija-nuzhny-finkuratory.16252/page-3
ЧЕШИРА,https://helpdog.ru/forum/threads/cheshira-chechnja-vykuplennaja-s-boev-pitochka.16100/,сообщение 2023-10-30: 25 - 3000 на альфа Саша Малышева Итого: 110760 Расход Обработка при поступлении - 800 Передержка с 30.10.23 по 31.,16100,https://helpdog.ru/forum/threads/cheshira-chechnja-vykuplennaja-s-boev-pitochka.16100/page-5
ОРЕЙРА,https://helpdog.ru/forum/threads/orejra-orenburg-nuzhny-finkuratory-v-prijute.15902/,сообщение 2023-02-13: 23 - 5000₽ на СБ @oxa_sk_ Итого: 32850 Расход Обработка при поступлении - 800 Передержка с 12.02.23 по 28.,15902,https://helpdog.ru/forum/threads/orejra-orenburg-nuzhny-finkuratory-v-prijute.15902/page-3
ЧАРЛИК,https://helpdog.ru/forum/threads/charlik-xozjain-umer-sobaka-na-ulicu-vernulsja-v-prijut.14181/,сообщение 2019-11-18: Передержка с 17.11.19 по 30.,14181,https://helpdog.ru/forum/threads/charlik-xozjain-umer-sobaka-na-ulicu-vernulsja-v-prijut.14181/page-11
НИТА,https://helpdog.ru/forum/threads/nita-pogorelica-iz-tuly.16432/,"первое сообщение темы 2026-03-20: Сколько бед может выпасть на долю одной собаки? Жизнь показывает, что много. Вот и этой девчушке досталось по полной. Изначально она попала не в самые лучшие руки, а потом и вовсе осталась одна. Дом сгорел, хозяев посадили и девчушка осталась в одиночестве на ...",16432,https://helpdog.ru/forum/threads/nita-pogorelica-iz-tuly.16432/
МАЛИНА,https://helpdog.ru/forum/threads/malina-sos-sobaku-vybrosili-v-podval-vmeste-s-schenkami-v-prijute.14385/,сообщение 2020-02-19: Передержка с 19.02.20 по 29.,14385,https://helpdog.ru/forum/threads/malina-sos-sobaku-vybrosili-v-podval-vmeste-s-schenkami-v-prijute.14385/page-7
РОШАЛЬ,https://helpdog.ru/forum/threads/roshal-krupnyj-ryzhij-metis-nuzhny-finkuratory.13153/,сообщение 2018-05-09: Передержка с 01.01.22 по 31.,13153,https://helpdog.ru/forum/threads/roshal-krupnyj-ryzhij-metis-nuzhny-finkuratory.13153/page-21
РОКЕТ,https://helpdog.ru/forum/threads/roket-nashli-belo-chernogo-staffa-rjazan-srochno-nuzhno-mrt-golovy.14220/,сообщение 2019-12-01: Расход Обработка при поступлении - Передержка с 01.12.19 по 02.,14220,https://helpdog.ru/forum/threads/roket-nashli-belo-chernogo-staffa-rjazan-srochno-nuzhno-mrt-golovy.14220/page-9
НИКУСЯ,https://helpdog.ru/forum/threads/nikusja-nekogda-zanimatsja-sobakoj.16411/,сообщение 2025-12-09: Расход Обработка при поступлении- 800₽ Передержка с 02.12.25 по 31.,16411,https://helpdog.ru/forum/threads/nikusja-nekogda-zanimatsja-sobakoj.16411/
ПИРС,https://helpdog.ru/forum/threads/pirs-pjatigorsk-nuzhny-finkuratory.16127/,сообщение 2023-12-04: Обработка при поступлении - 800 Передержка с 03.12.23 по 31.,16127,https://helpdog.ru/forum/threads/pirs-pjatigorsk-nuzhny-finkuratory.16127/page-4
БАСЭМ,https://helpdog.ru/forum/threads/basehm-bobrujsk-domashnjuju-sobaku-sdali-v-otlov.15291/,сообщение 2021-09-24: 25 - 3000р на альфу @Lokkyl (ФК) Итого: 145517₽ Расход Обработка при поступлении -800 Передержка с 01.10.21 по 31.,15291,https://helpdog.ru/forum/threads/basehm-bobrujsk-domashnjuju-sobaku-sdali-v-otlov.15291/page-6
КРИСТИАН,https://helpdog.ru/forum/threads/kristian-kislovodsk-nuzhny-finkuratory.16081/,сообщение 2023-10-02: Расход Обработка при поступлении - 800 Передержка с 01.10.23 по 31.,16081,https://helpdog.ru/forum/threads/kristian-kislovodsk-nuzhny-finkuratory.16081/page-4
ГРОМ,https://helpdog.ru/forum/threads/grom-amstaff-v-vozraste-iz-semi-narkomanov.15964/,сообщение 2023-04-11: Передержка с 09.04.23 по 30.,15964,https://helpdog.ru/forum/threads/grom-amstaff-v-vozraste-iz-semi-narkomanov.15964/page-4
КАНТЕМИР,https://helpdog.ru/forum/threads/kantemir-najdenysh-nuzhna-pomosch.16405/,сообщение 2025-11-03: Передержка с 28.10.25 по 31.,16405,https://helpdog.ru/forum/threads/kantemir-najdenysh-nuzhna-pomosch.16405/page-2
АДЕЛИНА,https://helpdog.ru/forum/threads/adelina-molodenkuju-staffku-zabrali-iz-neblagopoluchnyx-uslovij.16390/,сообщение 2025-08-25: Передержка с 17.08.25 по 31.,16390,https://helpdog.ru/forum/threads/adelina-molodenkuju-staffku-zabrali-iz-neblagopoluchnyx-uslovij.16390/page-2
БАТЛЕР,https://helpdog.ru/forum/threads/batler-balakovo-nuzhny-finkuratory.16223/,сообщение 2024-04-26: Передержка с 25.04.24 по 30.,16223,https://helpdog.ru/forum/threads/batler-balakovo-nuzhny-finkuratory.16223/page-3
НЕРО,https://helpdog.ru/forum/threads/nero-ocherednoj-nenuzhnyj-posle-smerti-xozjaina-kovrov.15758/,сообщение 2022-09-05: Передержка с 06.09.22 по 30.,15758,https://helpdog.ru/forum/threads/nero-ocherednoj-nenuzhnyj-posle-smerti-xozjaina-kovrov.15758/page-4
ЯНТАРЕК,https://helpdog.ru/forum/threads/jantarek-jakutsk-nuzhny-finkuratory.16276/,сообщение 2024-06-20: Передержка с 19.06.24 по 30.,16276,https://helpdog.ru/forum/threads/jantarek-jakutsk-nuzhny-finkuratory.16276/page-3
ТОДЕС,https://helpdog.ru/forum/threads/todes-turcija-malchik-umiraet-blagodarja-usilijam-ljudej.15292/,сообщение 2021-09-27: Расход Обработка при поступлении - 0 Передержка с 24.03.22 по 31.,15292,https://helpdog.ru/forum/threads/todes-turcija-malchik-umiraet-blagodarja-usilijam-ljudej.15292/page-3
ЯСИР,https://helpdog.ru/forum/threads/jasir-jakutsk-sdali-v-ppzh.15588/,сообщение 2022-04-03: Расход Перелет из Якутска в Москву - 7750 Обработка при поступлении - 800 Передержка с 04.04.22 по 30.,15588,https://helpdog.ru/forum/threads/jasir-jakutsk-sdali-v-ppzh.15588/page-2
ОЛЛИ,https://helpdog.ru/forum/threads/olli-najden-volonterami-v-osetii.15913/,сообщение 2023-02-21: Передержка с 21.02.23 по 28.,15913,https://helpdog.ru/forum/threads/olli-najden-volonterami-v-osetii.15913/page-2
САНДР,https://helpdog.ru/forum/threads/sandr-esche-odna-broshennaja-dusha-v-sochi-nuzhny-finkuratory-na-5000.14119/,сообщение 2019-09-30: Передержка с 24.10.19 по 31.,14119,https://helpdog.ru/forum/threads/sandr-esche-odna-broshennaja-dusha-v-sochi-nuzhny-finkuratory-na-5000.14119/page-6
ГЕРАНЬ,https://helpdog.ru/forum/threads/geran-chjornaja-metiska-iz-koroljova.13607/,сообщение 2018-11-10: Передержка с 01.01.23 по 31.,13607,https://helpdog.ru/forum/threads/geran-chjornaja-metiska-iz-koroljova.13607/page-18
ГЕРТРУДА,https://helpdog.ru/forum/threads/gertruda-gruzija-nuzhny-finkuratory.16235/,сообщение 2024-05-06: Передержка с 11.05.24 по 31.,16235,https://helpdog.ru/forum/threads/gertruda-gruzija-nuzhny-finkuratory.16235/page-4
ТРИТОН,https://helpdog.ru/forum/threads/triton-shikarnyj-malchik-ischet-dom-nuzhny-finkuratory-na-6500r.13456/,сообщение 2018-09-07: Передержка с 01.01.22 по 31.,13456,https://helpdog.ru/forum/threads/triton-shikarnyj-malchik-ischet-dom-nuzhny-finkuratory-na-6500r.13456/page-15
ПРАДО,https://helpdog.ru/forum/threads/prado-help-izranennyj-pit-povarovo-vernulsja.13818/,сообщение 2019-03-21: 19 1000р на СБ от Светлана Нестерова из ФБ 1000р на СБ от Анна Мячина из ФБ 500р на 05-28 от Александра Кузьмина из ФБ 1000р на СБ от Irina Uch из ФБ Итого - 11300 Расход Передержка с 02.10.21 по 31.,13818,https://helpdog.ru/forum/threads/prado-help-izranennyj-pit-povarovo-vernulsja.13818/page-12
МАРТИН,https://helpdog.ru/forum/threads/martin-xozjaina-posadili-drugix-variantov-u-sobaki-krome-prijuta-net-nuzhny-finkuratory.15442/,сообщение 2022-01-14: Передержка с 14.01.22 по 31.,15442,https://helpdog.ru/forum/threads/martin-xozjaina-posadili-drugix-variantov-u-sobaki-krome-prijuta-net-nuzhny-finkuratory.15442/page-3
ЯНВАР,https://helpdog.ru/forum/threads/janvar-jakutsk-sobaka-v-klinike-nuzhna-pomosch.15484/,сообщение 2022-01-29: 5000 на сб от Tussikola ТГ Итого: 62620 Расход Перелет из Якутска до Москвы - 10000 Оплата клиники - 3200 Оплата клиники - 7500 Обработка при поступлении - 0 Передержка с 07.02.22 по 28.,15484,https://helpdog.ru/forum/threads/janvar-jakutsk-sobaka-v-klinike-nuzhna-pomosch.15484/page-4
МАРСЕЛЬ,https://helpdog.ru/forum/threads/marsel-privezli-staffa-skazali-chto-brali-v-sheremetevo.13889/,сообщение 2019-05-09: Передержка с 01.01.21 по 19.,13889,https://helpdog.ru/forum/threads/marsel-privezli-staffa-skazali-chto-brali-v-sheremetevo.13889/page-23
РАВОН,https://helpdog.ru/forum/threads/ravon-besxoznyj-staff-brodil-po-derevne-karpova-ramenskogo-r-na-risk-otstrela.15752/,сообщение 2022-08-26: Передержка с 26.08.22 по 31.,15752,https://helpdog.ru/forum/threads/ravon-besxoznyj-staff-brodil-po-derevne-karpova-ramenskogo-r-na-risk-otstrela.15752/page-5
КРОМВЕЛЬ,https://helpdog.ru/forum/threads/kromvel-chernyj-staff-zaprygnul-v-mashinu-k-policii-krasnodar.15298/,сообщение 2021-09-28: 21-1050 Передержка с 01.10.21 по 31.,15298,https://helpdog.ru/forum/threads/kromvel-chernyj-staff-zaprygnul-v-mashinu-k-policii-krasnodar.15298/page-6
НАСКАР,https://helpdog.ru/forum/threads/naskar-nalchik-nuzhny-finkuratory.15557/,сообщение 2022-03-20: Передержка с 20.03.22 по 31.,15557,https://helpdog.ru/forum/threads/naskar-nalchik-nuzhny-finkuratory.15557/page-3
СОНЕТ,https://helpdog.ru/forum/threads/sonet-ryzhij-staff-iz-solnechnogorskogo-rajona.13032/,сообщение 2018-03-15: Передержка с 01.01.20 по 31.,13032,https://helpdog.ru/forum/threads/sonet-ryzhij-staff-iz-solnechnogorskogo-rajona.13032/page-23
ДИЗЕЛЕК,https://helpdog.ru/forum/threads/dizelek-so-schenkom-ne-smogli-spravitsja-i-otpravili-v-prijut.14855/,сообщение 2020-12-11: Расход Обработка при поступлении - 800 Передержка с 11.12.20 по 31.,14855,https://helpdog.ru/forum/threads/dizelek-so-schenkom-ne-smogli-spravitsja-i-otpravili-v-prijut.14855/page-14
ВАНДЕР,https://helpdog.ru/forum/threads/vander-vladikavkaz-xoteli-usypit-nuzhny-finkuratory.14892/,сообщение 2021-01-05: Расход Обработка при поступлении - 800 Передержка с 09.01.21 по по 31.,14892,https://helpdog.ru/forum/threads/vander-vladikavkaz-xoteli-usypit-nuzhny-finkuratory.14892/page-8
БАНКИР,https://helpdog.ru/forum/threads/bankir-novocherkassk.15899/,сообщение 2023-02-10: Расход Обработка при поступлении - 800 Передержка с 10.02.23 по 28.,15899,https://helpdog.ru/forum/threads/bankir-novocherkassk.15899/page-2
ПРЕСЛИ,https://helpdog.ru/forum/threads/presli-nashli-na-stadione-nuzhny-finkuratory.16217/,сообщение 2024-04-16: Передержка с 12.04.24 по 30.,16217,https://helpdog.ru/forum/threads/presli-nashli-na-stadione-nuzhny-finkuratory.16217/page-2
ДЖЕСУР,https://helpdog.ru/forum/threads/dzhesur-turcija-nuzhny-finkuratory.16037/,сообщение 2023-07-17: Расход Обработка при поступлении - 0 Передержка с 16.07.23 по 31.,16037,https://helpdog.ru/forum/threads/dzhesur-turcija-nuzhny-finkuratory.16037/page-4
ДЕЛОНА,https://helpdog.ru/forum/threads/delona-doneck-nuzhny-finkuratory.15594/,сообщение 2022-04-07: 22 - 1000 на сб от @kyzmina_natalia Итого: 19127 Расход Обработка при поступлении - 800 Передержка с 08.04.22 по 30.,15594,https://helpdog.ru/forum/threads/delona-doneck-nuzhny-finkuratory.15594/page-5
ТОДИН,https://helpdog.ru/forum/threads/todin-turcija-v-prijute.15177/,сообщение 2021-07-16: 21 - 50000 на СБ - от волонтеров Турции Итого: 50000 Расход Обработка при поступлении - 800 Передержка с 15.07.21 по 31.,15177,https://helpdog.ru/forum/threads/todin-turcija-v-prijute.15177/page-4
ПИНКЕРТОН,https://helpdog.ru/forum/threads/pinkerton-perm-nuzhny-finkuratory.16128/,сообщение 2023-12-04: 24 - 25138 на Сб Ксения Итого: 25138 Расход Обработка при поступлении - 800 Передержка с 03.12.23 по 31.,16128,https://helpdog.ru/forum/threads/pinkerton-perm-nuzhny-finkuratory.16128/page-2
МИРИАМ,https://helpdog.ru/forum/threads/miriam-bezhenka-iz-mariupolja.15868/,сообщение 2023-01-05: Передержка с 05.01.23 по 31.,15868,https://helpdog.ru/forum/threads/miriam-bezhenka-iz-mariupolja.15868/page-2
ЯРНИ,https://helpdog.ru/forum/threads/jarni-7-mesjachnogo-schenka-sdali-v-ppzh-jakutska-vernulsja-v-prijut.15735/,сообщение 2022-08-06: Передержка с 05.08.22 по 16.,15735,https://helpdog.ru/forum/threads/jarni-7-mesjachnogo-schenka-sdali-v-ppzh-jakutska-vernulsja-v-prijut.15735/page-2
ДАНДИ,https://helpdog.ru/forum/threads/dandi-doneck-nuzhny-finkuratory.15595/,сообщение 2022-04-07: Расход Обработка при поступлении - 800 Передержка с 08.04.22 по 30.,15595,https://helpdog.ru/forum/threads/dandi-doneck-nuzhny-finkuratory.15595/page-3
ДАЛЛАС,https://helpdog.ru/forum/threads/dallas-brosili-na-ploschadke-dlja-sobak.14701/,сообщение 2020-09-01: Расход Обработка при поступлении - 800 Передержка с 01.09.20 по 30.,14701,https://helpdog.ru/forum/threads/dallas-brosili-na-ploschadke-dlja-sobak.14701/page-5
ВАШИНГТОН,https://helpdog.ru/forum/threads/vashington-vladikavkaz-neschastnyj-podrannyj-pes-sos.14598/,сообщение 2020-06-30: ОПЯТЬ И СРОЧНО НУЖНА ВАША ПОМОЩЬ ФИНАНСИРОВАНИЕ 2021 Приход Итого Расход Передержка с 20.01.20 по 31.,14598,https://helpdog.ru/forum/threads/vashington-vladikavkaz-neschastnyj-podrannyj-pes-sos.14598/page-16
